issue_id,category,title,example_text,laws_sections,advice_text
TENANCY_UNFAIR_PENALTIES,TENANCY,Landlord refusing to return deposit,My landlord is refusing to return my security deposit after I vacated the flat,,"Immediately send a written demand for return of the deposit to your landlord using email or registered post, and keep copies of all communications. Collect your rent agreement, payment receipts, and handover photos as evidence. If the landlord fails to respond within a reasonable time, file a detailed complaint with the Rent Authority in your district. You may also issue a formal legal notice specifying a fixed deadline for repayment. Escalate further by approaching the consumer forum if the deposit is not returned after these steps."
TENANCY_UNREGISTERED_AGREEMENT,TENANCY,Unregistered rent agreement and eviction,My rent agreement was not registered and now the landlord is asking me to leave,,"Prepare copies of all payment records and communications regarding your tenancy. If your agreement is unregistered and you are being evicted, document the eviction attempt and immediately approach the Rent Authority to file a complaint about both the unregistered agreement and illegal eviction. Request the authority to record your tenancy and intervene. If the landlord continues to pressure you, consider sending a formal notice demanding due process and a proper notice period. Keep all evidence safe for future proceedings."
TENANCY_UNILATERAL_TERMINATION,TENANCY,Rent increased without notice,The landlord has increased the rent without any prior notice,,"Request your landlord in writing to provide a clear explanation and supporting documents for the rent increase. State that you will pay only the agreed rent until proper advance notice is served, as per your agreement. If the landlord insists or threatens eviction, submit a complaint to the Rent Authority with all supporting evidence. Keep all receipts and communication records. If necessary, escalate by seeking intervention from local tenant associations."
TENANCY_LACK_OF_BASIC_AMENITIES,TENANCY,No water supply in rented flat,There is no water supply in my rented apartment for the past two days,,"Document the lack of water supply with dated photos, videos, and written complaints to your landlord. Demand urgent restoration of water service and keep all communication as evidence. If the landlord does not act within a reasonable time, file a complaint with the local municipality and notify the Rent Authority in writing. If the issue causes health or hygiene risks, you may also approach the local health authority. Maintain a record of all actions taken."
TENANCY_ILLEGAL_EVICTION,TENANCY,Landlord harassing to evict before lease end,The landlord is harassing me to evict the house before the lease term ends,,"Keep all messages, call records, and evidence of harassment or threats from your landlord. Do not vacate without written notice or before your lease ends. File a complaint with the Rent Authority detailing the harassment and request intervention to protect your tenancy rights. If you feel unsafe, approach the local police with your evidence. Escalate to higher authorities if the situation does not improve."
TENANCY_UTILITY_BILL_DISPUTE,TENANCY,Landlord charging for electricity without bills,"I am not getting electricity bills separately, but the landlord is charging",,"Ask your landlord for official electricity bills and receipts for any charges. Refuse to pay unless you receive proper documentation matching your usage. If bills are not provided or inflated, file a complaint with the consumer forum and notify the Rent Authority. Retain all payment records and communication for your case. If the landlord disconnects your electricity, contact the local electricity board immediately."
TENANCY_ILLEGAL_EVICTION,TENANCY,Landlord locked my room and won’t let me get belongings,My landlord has locked my room and is not allowing me to take my belongings,,"Gather proof of your tenancy and payment records. If your landlord has locked your room and is withholding belongings, immediately file a written complaint with the local police citing illegal lockout and withholding of property. Simultaneously, notify the Rent Authority about the incident. Request police assistance to regain access to your possessions. Keep copies of all complaints and responses for further proceedings."
TENANCY_SUBSTANDARD_LIVING_CONDITIONS,TENANCY,Poor building maintenance,The building maintenance is very poor and the landlord is not addressing complaints,,"Take photographs and document all maintenance issues in your building. Send a detailed written request to your landlord for repairs and keep a record of this communication. If repairs are not completed within a reasonable time, escalate the matter to the local municipality and file a complaint with the Rent Authority. Maintain receipts for any repairs you pay for yourself. Organize fellow tenants if common areas are affected."
TENANCY_NO_PAYMENT_RECEIPTS,TENANCY,No rent receipt for three months,I have not received any receipt for the rent paid for three months,,"Formally request your landlord for rent receipts for the last three months and specify the payment dates and methods used. Provide bank statements or witnesses as supporting evidence. If your landlord refuses or delays, file a complaint with the Rent Authority, attaching your payment proofs. Continue to pay rent through verifiable means like bank transfer or cheque. Retain all future receipts and correspondence."
TENANCY_RESTRICTION_ON_GUESTS,TENANCY,Friends or guests not allowed by landlord,Landlord is not allowing my friends to visit even during daytime,,"Review your rent agreement for guest policies and document any restrictions imposed by your landlord. If no such restriction exists, send a written request for clarification and keep a record. If you are unreasonably prevented from having guests, file a complaint with the Rent Authority detailing the restriction. Maintain records of any denied entry to your visitors. Seek written confirmation from your landlord of any house rules."
