Text,Category ,Relevant Laws
My landlord is refusing to return my security deposit after I vacated the flat,TENANCY,"Transfer of Property Act, Section 108 (Rights and liabilities of lessor and lessee)
IPC Section 442 (Criminal trespass)
Civil Procedure Code (Recovery of deposit)"
My rent agreement was not registered and now the landlord is asking me to leave,TENANCY,"Indian Registration Act, 1908 (Registration of documents)
Transfer of Property Act, Section 106 (Rights of tenant)
Civil Procedure Code (Eviction remedies)"
The landlord has increased the rent without any prior notice,TENANCY,"Rent Control Act / Transfer of Property Act, Section 109 (Notice for rent increase)
Indian Contract Act, Section 74 (Penalty for breach)
Civil Procedure Code (Remedies)"
There is no water supply in my rented apartment for the past two days,TENANCY,"Transfer of Property Act, Section 108 (Obligations of landlord)
Indian Contract Act, Section 73 (Remedies for breach)
Municipal Regulations (Water supply standards)"
The landlord is harassing me to evict the house before the lease term ends,TENANCY,"Transfer of Property Act, Section 108 (Rights and liabilities of lessor and lessee)
IPC Section 503 (Criminal intimidation)
State Rent Control Act – Illegal Eviction Provisions (Prevents forceful eviction by landlord)"
"I am not getting electricity bills separately, but the landlord is charging",TENANCY,"Electricity Act, Section 56 (Payment obligations)
Transfer of Property Act, Section 108 (Landlord obligations)
Consumer Protection Act (Unfair charges)"
My landlord has locked my room and is not allowing me to take my belongings,TENANCY,"IPC Section 442 (Criminal trespass)
Transfer of Property Act, Section 108 (Tenant rights)
Civil Procedure Code (Recovery of possession)"
The building maintenance is very poor and the landlord is not addressing complaints,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Indian Contract Act, Section 73 (Remedies for breach)
Municipal Regulations (Building safety)"
I have not received any receipt for the rent paid for three months,TENANCY,"Transfer of Property Act, Section 108 (Obligation to acknowledge rent)
Income Tax Act (Record-keeping)
Consumer Protection Act (Unfair trade practice)"
Landlord is not allowing my friends to visit even during daytime,TENANCY,"Transfer of Property Act, Section 108 (Right to enjoy premises)
Indian Contract Act, Section 73 (Remedies for interference)
IPC Section 441 (Criminal trespass)"
The landlord entered my room without informing me,TENANCY,"IPC Section 442 (Criminal trespass)
Transfer of Property Act, Section 108 (Tenant rights)
Civil Procedure Code (Recovery of possession)"
My landlord has not fixed the leaking ceiling despite repeated requests,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Indian Contract Act, Section 73 (Remedies)
Municipal Regulations (Building maintenance)"
I was forced to sign a blank rent agreement by my landlord,TENANCY,"Indian Contract Act, Section 15 (Coercion)
IPC Section 417/420 (Cheating)
Transfer of Property Act, Section 106 (Rights of tenant)"
Landlord is demanding more money for painting charges after I moved out,TENANCY,"Transfer of Property Act, Section 108 (Obligations of landlord)
Indian Contract Act, Section 73 (Compensation for breach)
Consumer Protection Act (Unfair charges)"
The neighbours are creating a lot of noise and the landlord is not taking action,TENANCY,"Transfer of Property Act, Section 108 (Obligations of landlord)
Municipal Noise Regulations
Civil Remedies (Nuisance)"
I am being threatened with eviction if I do not pay increased rent,TENANCY,"Transfer of Property Act, Section 108 (Tenant protection)
IPC Section 503 (Criminal intimidation)
Rent Control Act (Illegal eviction provisions)"
My landlord is asking for rent in cash and not giving any acknowledgment,TENANCY,"Transfer of Property Act, Section 108 (Receipt obligations)
Income Tax Act (Record-keeping)
Consumer Protection Act (Unfair practice)"
The landlord refuses to repair the broken water pipeline,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Indian Contract Act, Section 73 (Remedies)
Municipal Regulations (Water supply)"
There is a pest infestation in the house and the landlord is not doing anything,TENANCY,"Transfer of Property Act, Section 108 (Maintenance obligations)
Municipal Health Regulations
Consumer Protection Act (Negligence)"
I am being asked to vacate immediately due to landlord's personal reasons,TENANCY,"Transfer of Property Act, Section 108 (Tenant protection)
IPC Section 503 (Criminal intimidation)
State Rent Control Act (Illegal eviction prevention)"
The landlord is not returning my original documents given at the time of agreement,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
IPC Section 405/406 (Criminal breach of trust)
Civil Procedure Code (Recovery of documents)"
I am facing discrimination from the landlord for my religion,TENANCY,"Constitution of India, Article 15 (Prohibition of discrimination)
Equal Opportunity Laws
Transfer of Property Act (Tenant rights)"
Landlord is asking for extra money for using kitchen gas connection,TENANCY,"Indian Contract Act, Section 73 (Unlawful charges)
Transfer of Property Act, Section 108 (Tenant rights)
Consumer Protection Act"
There is no proper garbage disposal and the landlord ignores the issue,TENANCY,"Municipal Regulations (Sanitation)
Transfer of Property Act, Section 108 (Obligations of landlord)
Consumer Protection Act"
The landlord is threatening to cut electricity if I complain,TENANCY,"IPC Section 506 (Criminal intimidation)
Electricity Act, Section 56 (Payment obligations)
Transfer of Property Act, Section 108"
I am not allowed to keep pets as per landlord's rules,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
Municipal Regulations (Pet ownership)
Indian Contract Act (Fair terms enforcement)"
Landlord is refusing to renew my rental agreement,TENANCY,"Transfer of Property Act, Section 106 & 108 (Tenant protection)
Rent Control Act (Renewal rights)
Indian Contract Act (Obligations)"
The landlord is not giving me a copy of the lease agreement,TENANCY,"Transfer of Property Act, Section 108 (Tenant rights)
Indian Registration Act, 1908
Civil Procedure Code"
My deposit was deducted for damages that were already present,TENANCY,"Transfer of Property Act, Section 108 (Deposit obligations)
Civil Procedure Code (Recovery)
Consumer Protection Act (Unfair charges)"
