text,category
My landlord is refusing to return my security deposit after I vacated the flat,TENANCY
My rent agreement was not registered and now the landlord is asking me to leave,TENANCY
The landlord has increased the rent without any prior notice,TENANCY
There is no water supply in my rented apartment for the past two days,TENANCY
The landlord is harassing me to evict the house before the lease term ends,TENANCY
"I am not getting electricity bills separately, but the landlord is charging ",TENANCY
My landlord has locked my room and is not allowing me to take my belongings,TENANCY
The building maintenance is very poor and the landlord is not addressing complaints,TENANCY
I have not received any receipt for the rent paid for three months,TENANCY
Landlord is not allowing my friends to visit even during daytime,TENANCY
The landlord entered my room without informing me,TENANCY
My landlord has not fixed the leaking ceiling despite repeated requests,TENANCY
I was forced to sign a blank rent agreement by my landlord,TENANCY
Landlord is demanding more money for painting charges after I moved out,TENANCY
The neighbours are creating a lot of noise and the landlord is not taking action,TENANCY
I am being threatened with eviction if I do not pay increased rent,TENANCY
My landlord is asking for rent in cash and not giving any acknowledgment,TENANCY
The landlord refuses to repair the broken water pipeline,TENANCY
There is a pest infestation in the house and the landlord is not doing anything,TENANCY
I am being asked to vacate immediately due to landlord's personal reasons,TENANCY
The landlord is not returning my original documents given at the time of agreement,TENANCY
I am facing discrimination from the landlord for my religion,TENANCY
Landlord is asking for extra money for using kitchen gas connection,TENANCY
There is no proper garbage disposal and the landlord ignores the issue,TENANCY
The landlord is threatening to cut electricity if I complain,TENANCY
I am not allowed to keep pets as per landlord's rules,TENANCY
Landlord is refusing to renew my rental agreement,TENANCY
The landlord is not giving me a copy of the lease agreement,TENANCY
My deposit was deducted for damages that were already present,TENANCY
Landlord is not providing parking space as promised,TENANCY
The landlord is charging maintenance charges over and above rent,TENANCY
I was not informed about the rent increase in advance,TENANCY
My landlord is not allowing repairs needed in the kitchen,TENANCY
The flat has serious damp issues but landlord is not fixing them,TENANCY
I am being charged for water even when the supply is irregular,TENANCY
Landlord is not allowing me to use the terrace,TENANCY
I am being forced to vacate due to owner's family moving in,TENANCY
Landlord is not returning advance rent paid,TENANCY
The landlord is not providing separate electricity meter,TENANCY
I am being threatened to pay extra for using AC,TENANCY
Landlord is harassing me to pay for repairs,TENANCY
The landlord is not allowing me to extend my stay,TENANCY
I am not being given a rent receipt for online payments,TENANCY
The landlord is forcing me to sign a new agreement with higher rent,TENANCY
My landlord is not giving me back the deposit after leaving the house,TENANCY
The landlord is not resolving neighbour disputes affecting my stay,TENANCY
Landlord is not allowing me to shift before the notice period ends,TENANCY
The landlord is deducting money for painting which was not done,TENANCY
My landlord is not providing basic amenities as promised,TENANCY
My landlord has refused to fix the broken geyser for weeks,TENANCY
I am being asked to pay for repairs that are landlord's responsibility,TENANCY
My landlord is not maintaining the common areas,TENANCY
The landlord is not allowing me to host guests overnight,TENANCY
My landlord is not refunding the deposit even after the inspection,TENANCY
My employer is not paying my salary on time,LABOUR
I was terminated without any prior notice or reason,LABOUR
I am being forced to work overtime without extra pay,LABOUR
I have not received my provident fund after leaving the job,LABOUR
My boss is harassing me at the workplace,LABOUR
I was asked to resign due to my pregnancy,LABOUR
My employer has not given me an appointment letter,LABOUR
I am being discriminated against for my caste at work,LABOUR
My company is not allowing paid leaves as per policy,LABOUR
I am not getting my gratuity after retirement,LABOUR
My employer is deducting salary for no valid reason,LABOUR
I am being forced to sign a blank resignation letter,LABOUR
My employer is not providing a safe working environment,LABOUR
I was denied promotion due to my gender,LABOUR
My company is not following minimum wage laws,LABOUR
I was transferred to a different city without consent,LABOUR
My employer is not depositing my ESI contributions,LABOUR
I am being denied maternity benefits,LABOUR
My company is not giving me experience certificate,LABOUR
I was suspended without any enquiry,LABOUR
My employer is not allowing me to join a union,LABOUR
I am being bullied by co-workers and management is ignoring it,LABOUR
My employer is not giving me salary slips,LABOUR
I am being forced to work on national holidays,LABOUR
My company is not paying overtime wages,LABOUR
I am being asked to do work outside my job description,LABOUR
My employer is not allowing me to take sick leave,LABOUR
I am facing sexual harassment at the workplace,LABOUR
My employer is not providing basic facilities like drinking water,LABOUR
I am not being paid for training period,LABOUR
My company is not following safety regulations,LABOUR
I was demoted without any valid reason,LABOUR
My employer is not reimbursing my travel expenses,LABOUR
I am being threatened with job loss if I complain,LABOUR
My company is not contributing to my pension fund,LABOUR
I am not getting equal pay for equal work,LABOUR
My employer is not providing insurance coverage,LABOUR
I am being forced to sign unfair employment contract,LABOUR
My employer refuses to provide medical leave,LABOUR
My company is not allowing breaks during work hours,LABOUR
I am being denied leave for important family events,LABOUR
My employer is deducting PF without depositing it,LABOUR
I am not getting salary for notice period,LABOUR
My company is not following anti-discrimination policies,LABOUR
I am being forced to work in unsafe conditions,LABOUR
My employer is not providing proper toilet facilities,LABOUR
My company is not following labour laws,LABOUR
I am being denied bonus as per law,LABOUR
My employer is not paying me for work done during weekends,LABOUR
My company is not allowing me to resign freely,LABOUR
My employer is not giving me termination letter,LABOUR
I have been falsely accused of theft,CRIMINAL
The police are harassing me without any evidence,CRIMINAL
I am being threatened by my neighbour,CRIMINAL
My house was burgled and the police are not taking action,CRIMINAL
I am facing domestic violence at home,CRIMINAL
I am being blackmailed online,CRIMINAL
I was assaulted in public and no FIR was registered,CRIMINAL
I am being extorted for money,CRIMINAL
My car was stolen and the police are delaying investigation,CRIMINAL
I am being stalked by someone,CRIMINAL
I am being falsely implicated in a criminal case,CRIMINAL
My family member is missing and police are not helping,CRIMINAL
I am being defamed on social media,CRIMINAL
I am being forced to sign documents under threat,CRIMINAL
My property was damaged by miscreants,CRIMINAL
I was cheated in a business deal,CRIMINAL
I am facing threats for reporting illegal activities,CRIMINAL
I am being harassed for dowry,CRIMINAL
My child is being bullied at school,CRIMINAL
I am a victim of cyber crime,CRIMINAL
I am being threatened with acid attack,CRIMINAL
I am being harassed for caste reasons,CRIMINAL
My documents were forged and misused,CRIMINAL
I am being forced into marriage against my will,CRIMINAL
I am being harassed for interfaith relationship,CRIMINAL
I was arrested without a warrant,CRIMINAL
I am being harassed for sexual orientation,CRIMINAL
My business is being targeted by local goons,CRIMINAL
I am being threatened for not paying bribes,CRIMINAL
My identity was stolen and misused,CRIMINAL
I am a victim of physical assault,CRIMINAL
I am being harassed for whistleblowing,CRIMINAL
My phone was hacked and private data leaked,CRIMINAL
I am being threatened for political reasons,CRIMINAL
I am being harassed for participating in protests,CRIMINAL
My bank account was fraudulently accessed,CRIMINAL
I am being targeted for being a minority,CRIMINAL
My vehicle was vandalized,CRIMINAL
I am being harassed by debt collectors,CRIMINAL
I am being forced to withdraw a police complaint,CRIMINAL
My child was kidnapped,CRIMINAL
I am being framed for a crime I did not commit,CRIMINAL
I am being harassed for property dispute,CRIMINAL
My reputation is being tarnished with false allegations,CRIMINAL
I am being targeted for social activism,CRIMINAL
My business partner is threatening me,CRIMINAL
I am being harassed for online posts,CRIMINAL
My family is facing threats from local criminals,CRIMINAL
I am being threatened with physical harm,CRIMINAL
I want to file for divorce from my spouse,FAMILY
I am facing domestic violence from my partner,FAMILY
I want custody of my child after separation,FAMILY
My spouse is not paying maintenance or alimony,FAMILY
I am being denied visitation rights to my child,FAMILY
I want to adopt a child legally,FAMILY
My spouse is not disclosing income for child support,FAMILY
I am being harassed for dowry by in-laws,FAMILY
I want to challenge a will made by my parent,FAMILY
My spouse is not allowing me to meet my parents,FAMILY
I want to change my child's name legally,FAMILY
I am facing harassment from my spouse's family,FAMILY
I want to claim ancestral property rights,FAMILY
